recipe,difficulty,page,minutes,section,video_title,video_date,video_src,video_thumbnail
Croquembouche,5.285714286,211,240,Layer Cakes and Fancy Desserts,Claire Saffitz Teaches Amateur How To Make Croquembouche | Dessert Person,"May 6, 2021",https://www.youtube.com/watch?v=OwQlEF8DXs8,https://i.ytimg.com/vi/OwQlEF8DXs8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCuVFMvYpDYqVKeTspLTAg_5Tjo4w
Double-Apple Crumb Cake,2.285714286,53,134,Loaf Cakes and Single-Layer Cakes,,,,
Earl Gray And Apricot Hamantaschen,3.75,159,240,Bars and Cookies,,,,
Feta-Za'atar Flatbread With Charred Eggplant Dip,3.875,299,120,Breads and Savory Baking,Claire Saffitz Makes Feta-Za'atar Flatbread #shorts | Dessert Person,"Mar 3, 2022",https://www.youtube.com/watch?v=wz4FxERvDmM,https://i.ytimg.com/vi/wz4FxERvDmM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBB3PiGStIHsZVhJDRzcEWWGkQ66w
Flourless Chocoalte Wave Cake,3.75,65,84,Loaf Cakes and Single-Layer Cakes,The Best Flourless CHOCOLATE CAKE with Claire Saffitz | Dessert Person,"Aug 19, 2021",https://www.youtube.com/watch?v=1fCZN27e9Bo,https://i.ytimg.com/vi/1fCZN27e9Bo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7X72scYQGWw7EgRCq3_2RmIcE-Q
Foolproof Tarte Tatin,3.9375,107,240,Pies and Tarts,Claire Saffitz Makes Foolproof Tarte Tatin & Rough Puff Pastry | Dessert Person,"Dec 10, 2020",https://www.youtube.com/watch?v=eiQR-F5wqvk,https://i.ytimg.com/vi/eiQR-F5wqvk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhtB8LGjbNB96vgZjHrz2iCy8utw
Fruitcake,4.857142857,193,86400,Layer Cakes and Fancy Desserts,,,,
Gateau Basque,4.714285714,197,252,Layer Cakes and Fancy Desserts,,,,
Goat Cheese Cake With Honey And Figs,3.44,71,226,Loaf Cakes and Single-Layer Cakes,,,,
Gougeres,2.571428571,277,60,Breads and Savory Baking,Claire Saffitz Makes Cheese Puffs / Pâte à Choux Part 1 | Dessert Person,"Dec 23, 2021",https://www.youtube.com/watch?v=okmeKRVSlvM,https://i.ytimg.com/vi/okmeKRVSlvM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCrr1BSlr18_tZciQ9zIMxqsbjPGA
